weight,tp,fp,prob,FDR
4,18045,71740,0.3,0.7990198808264186
4,12267,40997,0.4,0.769694352658456
4,6818,19285,0.5,0.7388039688924645
4,4553,11541,0.55,0.7170995402013173
4,2700,5981,0.6,0.6889759244326691
4,1210,2590,0.65,0.6815789473684211
4,381,936,0.7,0.7107061503416856
4,93,402,0.75,0.8121212121212121
4,52,198,0.8,0.792
5,19497,85100,0.3,0.8135988603879653
5,14422,52994,0.4,0.7860745223685772
5,9356,29139,0.5,0.7569554487595792
5,6893,19729,0.55,0.7410788070017279
5,4507,12151,0.6,0.729439308440389
5,2551,6191,0.65,0.7081903454587051
5,1200,2398,0.7,0.6664813785436353
5,534,940,0.75,0.6377204884667571
5,225,394,0.8,0.6365105008077544
6,21116,96517,0.3,0.8204925488595887
6,16644,64480,0.4,0.794832601942705
6,11510,38871,0.5,0.7715408586570334
6,8884,27834,0.55,0.7580478239555531
6,6343,18204,0.6,0.7415977512526989
6,4040,10473,0.65,0.7216288844484255
6,2126,4796,0.7,0.6928633342964461
6,959,1656,0.75,0.6332695984703632
6,179,274,0.8,0.6048565121412803
7,22282,107148,0.3,0.8278451672718844
7,18391,73989,0.4,0.8009201125784802
7,13579,46027,0.5,0.7721873636882193
7,11013,34587,0.55,0.7584868421052632
7,8290,24408,0.6,0.7464676738638449
7,5586,15454,0.65,0.7345057034220532
7,3139,8294,0.7,0.7254438904924342
7,1527,3316,0.75,0.6846995663844724
7,610,922,0.8,0.6018276762402088
8,22871,116136,0.3,0.8354687174027208
8,19316,83409,0.4,0.8119639815040156
8,14774,54870,0.5,0.7878639940267647
8,12316,41881,0.55,0.7727549495359521
8,9655,30049,0.6,0.75682550876486
8,6791,19431,0.65,0.7410189916863702
8,3962,10470,0.7,0.7254711751662971
8,1476,4070,0.75,0.7338622430580599
8,296,908,0.8,0.7541528239202658
9,23416,123032,0.3,0.840107068720638
9,20522,91093,0.4,0.8161358240379877
9,16544,63324,0.5,0.7928582160564932
9,14198,50423,0.55,0.7802881416257873
9,11635,37780,0.6,0.7645451785894971
9,8811,25918,0.65,0.7462927236603415
9,5869,15578,0.7,0.7263486734741456
9,3129,7371,0.75,0.702
9,1231,2414,0.8,0.6622770919067216
10,24065,134821,0.3,0.8485392042093073
10,21854,104348,0.4,0.8268331722159712
10,18401,74549,0.5,0.8020333512641205
10,15961,60366,0.55,0.7908865801092667
10,13384,46644,0.6,0.7770373825548078
10,10459,33851,0.65,0.7639584743850146
10,7367,22113,0.7,0.7501017639077341
10,4453,11906,0.75,0.7277950974998472
10,1857,4510,0.8,0.7083398774933249
